Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
103,no lat/lng entered / incorrect lat/lng - geocoded location,Carmen De Bolivar,Colombia,0.0,0.0,9.7178623,-75.1238318,"El Carmen de Bolívar, Bolívar, Colombia",COL
104,no lat/lng entered / incorrect lat/lng - geocoded location,"Cerete, Cordoba",Colombia,0.0,0.0,8.8884178,-75.84239456572658,"Cereté, Córdoba, Colombia",COL
105,no lat/lng entered / incorrect lat/lng - geocoded location,Cerrito,Colombia,0.0,0.0,6.8435992,-72.6939627,"Cerrito, Santander, Colombia",COL
106,no lat/lng entered / incorrect lat/lng - geocoded location,Cienega De Oro,Colombia,0.0,0.0,9.1108885,-72.8089164,"Río de Oro, Norte de Santander, Colombia",COL
107,no lat/lng entered / incorrect lat/lng - geocoded location,Ciudad Bolivar,Colombia,0.0,0.0,5.8500342,-76.0208666,"Ciudad Bolívar, Antioquia, Colombia",COL
108,no lat/lng entered / incorrect lat/lng - geocoded location,Colombia,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
109,no lat/lng entered / incorrect lat/lng - geocoded location,Cordoba,Colombia,0.0,0.0,8.3344713,-75.6666238,"Córdoba, Colombia",COL
110,no lat/lng entered / incorrect lat/lng - geocoded location,Corozal,Colombia,0.0,0.0,4.3988856,-75.9180591,"Corozal, Valle del Cauca, Colombia",COL
111,no lat/lng entered / incorrect lat/lng - geocoded location,"Darien, Valle Del Cauca",Colombia,0.0,0.0,3.9318186,-76.4842408,"Darién, Valle del Cauca, Colombia",COL
112,no lat/lng entered / incorrect lat/lng - geocoded location,Duitama,Colombia,0.0,0.0,5.8277055,-73.0338939,"Duitama, 150461, Boyacá, Colombia",COL
113,correct location data,"El Cerrito, Valle Del Cauca",Colombia,3.7,-76.32,3.7,-76.32,"El Cerrito, Valle Del Cauca, Colombia",COL
114,no lat/lng entered / incorrect lat/lng - geocoded location,"El Espinal, Tolima",Colombia,0.0,0.0,3.6461987,-75.3992722,"Mesetas De El Espinal, 73168, Tolima, Colombia",COL
115,no lat/lng entered / incorrect lat/lng - geocoded location,El Libano,Colombia,0.0,0.0,4.65626495,-74.00975263481826,"El Líbano, Cundinamarca, Colombia",COL
116,no lat/lng entered / incorrect lat/lng - geocoded location,El Naranjal,Colombia,0.0,0.0,2.9142726,-76.5053277,"El Naranjal, Cauca, Colombia",COL
117,no lat/lng entered / incorrect lat/lng - geocoded location,El Rosario,Colombia,0.0,0.0,5.0330087,-75.5690318,"El Rosario, 176002, Caldas, Colombia",COL
118,no lat/lng entered / incorrect lat/lng - geocoded location,"El Tambo, Valle Del Cauca",Colombia,0.0,0.0,3.7638803,-76.4861177,"El Tambor, Resguardo Indigena Gausirumos, Valle del Cauca, Colombia",COL
119,no lat/lng entered / incorrect lat/lng - geocoded location,El Tomate,Colombia,0.0,0.0,8.4554247,-76.3655876,"El Tomate, 054, Antioquia, Colombia",COL
120,no lat/lng entered / incorrect lat/lng - geocoded location,"Fuente De Oro, Granda",Colombia,0.0,0.0,3.4620439,-73.6174132,"Fuente de Oro, Meta, Colombia",COL
121,no lat/lng entered / incorrect lat/lng - geocoded location,"Garzon, Huila",Colombia,0.0,0.0,2.1625835,-75.55514449355248,"Garzón, 414020, Huila, Colombia",COL
122,no lat/lng entered / incorrect lat/lng - geocoded location,Granada,Colombia,0.0,0.0,6.1442998,-75.1844057,"Granada, Antioquia, Colombia",COL
123,no lat/lng entered / incorrect lat/lng - geocoded location,Guadalajara De Buga,Colombia,0.0,0.0,3.8884715,-76.2593652,"Rio Guadalajara, 042, Valle del Cauca, Colombia",COL
124,no lat/lng entered / incorrect lat/lng - geocoded location,"Independencia, Caldono",Colombia,0.0,0.0,2.796326,-76.4836526,"Caldono, Cauca, Colombia",COL
125,no lat/lng entered / incorrect lat/lng - geocoded location,"La Catalina, Pereira",Colombia,0.0,0.0,4.8023263,-75.6964439,"Carrera 21 bis, 576, Bostón, Risaralda, Colombia",COL
126,no lat/lng entered / incorrect lat/lng - geocoded location,"La Cubillera, Granada",Colombia,0.0,0.0,2.2768381,-74.9559382,"Rio La Granada, 182010, Caquetá, Colombia",COL
127,no lat/lng entered / incorrect lat/lng - geocoded location,La Palomera,Colombia,0.0,0.0,2.9537984,-76.4195252,"La Palomera, Cauca, Colombia",COL
128,no lat/lng entered / incorrect lat/lng - geocoded location,"La Trocha 12, Granda",Colombia,0.0,0.0,2.2551161,-76.90841105000001,"12, 12, Puerta Grande, Cauca, Colombia",COL
129,correct location data,La Ulloa Mpio Rivera,Colombia,2.62,-75.42,2.62,-75.42,"La Ulloa Mpio Rivera, Colombia",COL
130,no lat/lng entered / incorrect lat/lng - geocoded location,"La Union, Corcega",Colombia,0.0,0.0,4.5366453,-76.06681,"Corcega, Valle del Cauca, Colombia",COL
131,no lat/lng entered / incorrect lat/lng - geocoded location,"Lejania, Granada",Colombia,0.0,0.0,2.7688153,-75.649768,"Lejania, Huila, Colombia",COL
132,no lat/lng entered / incorrect lat/lng - geocoded location,Matazul,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
133,no lat/lng entered / incorrect lat/lng - geocoded location,Menegua,Colombia,0.0,0.0,4.0919294,-72.8149621,"Menegua, Meta, Colombia",COL
134,no lat/lng entered / incorrect lat/lng - geocoded location,"Mondomo, Santander",Colombia,0.0,0.0,2.8606688,-76.5123296,"Rio Mondomo, El Arbolito, Cauca, Colombia",COL
135,no lat/lng entered / incorrect lat/lng - geocoded location,Monteria,Colombia,8.83,-57.78,8.7558921,-75.887029,"Montería, Córdoba, Colombia",COL
136,no lat/lng entered / incorrect lat/lng - geocoded location,"Neiva, Huila",Colombia,0.0,0.0,3.0332673000000003,-75.27944239597832,"Neiva, Huila, Colombia",COL
137,no lat/lng entered / incorrect lat/lng - geocoded location,"Obando, Molina",Colombia,0.0,0.0,4.6220602,-76.0282284,"MOLINA, Valle del Cauca, Colombia",COL
138,correct location data,Palmira,Colombia,4.27,-76.32,4.27,-76.32,"Palmira, Colombia",COL
139,no lat/lng entered / incorrect lat/lng - geocoded location,"Paraguaicito, Armenia",Colombia,0.0,0.0,4.4923898,-75.73960166465673,"Armenia, Quindío, Colombia",COL
140,no lat/lng entered / incorrect lat/lng - geocoded location,Pelaya-cesar (aguachica),Colombia,0.0,0.0,8.24811845,-73.62140380560058,"Aguachica, Cesar, Colombia",COL
141,no lat/lng entered / incorrect lat/lng - geocoded location,Pereira,Colombia,0.0,0.0,4.8142912,-75.6946451,"Pereira, 660002, Risaralda, Colombia",COL
142,no lat/lng entered / incorrect lat/lng - geocoded location,Piendamo,Colombia,0.0,0.0,2.735773,-76.5534967167817,"Piendamó, Cauca, Colombia",COL
143,no lat/lng entered / incorrect lat/lng - geocoded location,Procampo,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
144,no lat/lng entered / incorrect lat/lng - geocoded location,Puerto Lopez,Colombia,0.0,0.0,7.7933241,-75.8401892,"Puerto Lopez, Córdoba, Colombia",COL
145,no lat/lng entered / incorrect lat/lng - geocoded location,Puerto Lopez (2),Colombia,0.0,0.0,6.4902145,-74.3997197,"Carrera 2, 00000, Puerto Berrío, Antioquia, Colombia",COL
146,no lat/lng entered / incorrect lat/lng - geocoded location,"Quindio, Montenegro",Colombia,0.0,0.0,4.5664176,-75.7507081,"Montenegro, Quindío, Colombia",COL
147,no lat/lng entered / incorrect lat/lng - geocoded location,"Rivera, Huila",Colombia,0.0,0.0,2.7779482,-75.2582697,"Rivera, Huila, Colombia",COL
148,no lat/lng entered / incorrect lat/lng - geocoded location,Roldanillo,Colombia,0.0,0.0,4.4440112,-76.16639092634387,"Roldanillo, Valle del Cauca, Colombia",COL
149,no lat/lng entered / incorrect lat/lng - geocoded location,"Sabana De Torres, Santander",Colombia,0.0,0.0,7.3939416,-73.4998859,"Sabana de Torres, Santander, Colombia",COL
150,no lat/lng entered / incorrect lat/lng - geocoded location,Sahagu,Colombia,0.0,0.0,8.9103343,-75.4817766,"Loma Grande, Córdoba, Colombia",COL
151,no lat/lng entered / incorrect lat/lng - geocoded location,San Antonio,Colombia,0.0,0.0,7.7017427,-75.6206362,"San Antonio, Córdoba, Colombia",COL
152,no lat/lng entered / incorrect lat/lng - geocoded location,San Barreto,Colombia,0.0,0.0,12.38051665,-81.6140750764522,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia), Colombia",COL
153,no lat/lng entered / incorrect lat/lng - geocoded location,"San Francisco, Sandona",Colombia,0.0,0.0,1.2991853500000001,-77.47593481408893,"Sandoná, Nariño, Colombia",COL
154,no lat/lng entered / incorrect lat/lng - geocoded location,"San Ignacio, Granada",Colombia,0.0,0.0,3.5209285,-74.0519891,"San Ignacio, Meta, Colombia",COL
155,no lat/lng entered / incorrect lat/lng - geocoded location,San Pedro De Uraba,Colombia,0.0,0.0,8.33372075,-76.34080137233052,"San Pedro de Urabá, 054, Antioquia, Colombia",COL
156,no lat/lng entered / incorrect lat/lng - geocoded location,San Pelayo,Colombia,0.0,0.0,8.9572178,-75.8374769,"San Pelayo, Córdoba, Colombia",COL
157,no lat/lng entered / incorrect lat/lng - geocoded location,"San Rafael, Consaca",Colombia,0.0,0.0,1.1638005,-77.4519397,"San Rafael, Nariño, Colombia",COL
158,no lat/lng entered / incorrect lat/lng - geocoded location,"Sandona, Narino, Fidar",Colombia,0.0,0.0,1.2991853500000001,-77.47593481408893,"Sandoná, Nariño, Colombia",COL
159,no lat/lng entered / incorrect lat/lng - geocoded location,Santa Helena,Colombia,0.0,0.0,4.7474328,-73.91733532236897,"Santa Helena, Cundinamarca, Colombia",COL
160,no lat/lng entered / incorrect lat/lng - geocoded location,Santa Lucia,Colombia,0.0,0.0,6.0537421,-75.9961388,"Santa Lucía, Las Andes, Antioquia, Colombia",COL
161,no lat/lng entered / incorrect lat/lng - geocoded location,Santander De Quilichao,Colombia,0.0,0.0,2.99828845,-76.51019933487012,"Santander de Quilichao, Cauca, Colombia",COL
162,no lat/lng entered / incorrect lat/lng - geocoded location,Segovia,Colombia,0.0,0.0,7.2775945,-74.62085391976942,"Segovia, Antioquia, Colombia",COL
163,no lat/lng entered / incorrect lat/lng - geocoded location,Semivalle,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
164,no lat/lng entered / incorrect lat/lng - geocoded location,Sincelejo,Colombia,0.0,0.0,9.315429349999999,-75.43298059079754,"Sincelejo, 70001, Sucre, Colombia",COL
165,no lat/lng entered / incorrect lat/lng - geocoded location,Taluma,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
166,no lat/lng entered / incorrect lat/lng - geocoded location,Tierra Alta,Colombia,0.0,0.0,8.3119698,-75.4425907,"Tierra Alta, Córdoba, Colombia",COL
167,no lat/lng entered / incorrect lat/lng - geocoded location,Tulenapa,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
168,no lat/lng entered / incorrect lat/lng - geocoded location,Tunja,Colombia,0.0,0.0,5.5158168,-73.37773195372108,"Tunja, Boyacá, Colombia",COL
169,correct location data,Turipana,Colombia,8.65,-75.97,8.65,-75.97,"Turipana, Colombia",COL
170,correct location data,Turipana (2),Colombia,8.65,-75.97,8.65,-75.97,"Turipana (2), Colombia",COL
171,no lat/lng entered / incorrect lat/lng - geocoded location,Turipana (3),Colombia,0.0,0.0,2.9405994,-75.25635620782482,"Turipaná, Comuna Oriente, Huila, Colombia",COL
172,no lat/lng entered / incorrect lat/lng - geocoded location,Turipana (4),Colombia,0.0,0.0,2.9402105,-75.2568126,"Carrera 43B, Comuna Oriente, Huila, Colombia",COL
173,no lat/lng entered / incorrect lat/lng - geocoded location,Valle De Magdalena,Colombia,0.0,0.0,10.717347,-73.6220434,"Valle de Mamancanaca, Magdalena, Colombia",COL
174,no lat/lng entered / incorrect lat/lng - geocoded location,Valle De Magdalena (2),Colombia,0.0,0.0,10.717347,-73.6220434,"Valle de Mamancanaca, Magdalena, Colombia",COL
