,index,location,found_lat,found_lng,matched_location
198,449,"('Probolinggo', 'Indonesia')",-7.7441461,113.2158401,"Probolinggo, 67214, East Java, Indonesia"
199,450,"('Takalar, South Sulawesi', 'Indonesia')",-5.424416,119.4402163,"BRI Cabang Takalar, 01, jl. ince husain, 92261, jl. ince husain, Kalabbirang, South Sulawesi, Indonesia"
200,451,"('Yogyakarta', 'Indonesia')",-7.8011945,110.364917,"Yogyakarta, 55122, Special Region of Yogyakarta, Indonesia"
201,454,"('Ai - Latifyia', 'Iraq')",32.550943,45.597238,"AI Malgayah, Wasit, Iraq"
202,457,"('Tuwaitha Baghdad', 'Iraq')",33.20876715,44.514783343618504,"Tuwaitha Nuclear Research Center, 10001, Baghdad, Baghdad, Iraq"
203,460,"('Baobab', 'Kenya')",-4.0165731,39.7258892,"Baobab Road, 80101, Mombasa, Mombasa, Kenya"
204,474,"('K.t.i', 'Kenya')",3.7326248499999997,34.8413908775106,"Kakuma I, Kakuma, Turkana, Kenya"
205,477,"('Kari - Embu', 'Kenya')",-0.5359626500000001,37.66530196902043,"Embu County, Kenya"
206,478,"('Karurina', 'Kenya')",1.4419683,38.4313975,"Kenya, Kenya"
207,503,"('Tanseed', 'Kenya')",1.4419683,38.4313975,"Kenya, Kenya"
208,505,"('Wanbugu', 'Kenya')",1.4419683,38.4313975,"Kenya, Kenya"
209,507,"('Western Seeds', 'Kenya')",0.5090396,34.5731341,"Western, Kenya"
210,509,"('Lesotho', 'Lesotho')",-29.6039267,28.3350193,"Lesotho, Lesotho"
211,519,"('Baka Research Station', 'Malawi')",-13.680208050000001,34.25890878313515,"Chitala Agricultural Research Station, Mphunga, Salima, Malawi"
212,529,"('Mphimbi', 'Malawi')",-13.2687204,33.9301963,"Malawi, Malawi"
213,531,"('Not Identified', 'Malawi')",-16.5043189,34.892303763072434,"Not known yet, Nsangwe, Chikwawa, Malawi"
214,536,"('Katibougou', 'Mali')",12.5017753,-8.0920452,"Katibougou, Koulikoro, Mali"
215,537,"('Kolombada', 'Mali')",12.69305,-7.0090667,"KOLOMBADA, Koulikoro, Mali"
216,540,"('Acatic, Jalisco', 'Mexico')",20.76878345,-102.92039700254298,"Acatic, Jalisco, Mexico"
217,541,"('Acayucan, Veracruz', 'Mexico')",18.0281048,-95.03593818139205,"Acayucan, 96000, Veracruz, Mexico"
218,543,"('Agua Fria', 'Mexico')",20.53396,-97.623345,"Agua Fría, Puebla, Mexico"
219,551,"('Apaseo El Guadalupe, Guanajuato', 'Mexico')",20.5563477,-100.6388368,"Guadalupe del Monte, 38160, Guanajuato, Mexico"
220,552,"('Atlacomulco', 'Mexico')",19.81591915,-99.86811932469178,"Atlacomulco, Mexico, Mexico"
221,553,"('Axochio, San Andres Tuxtla, Veracruz', 'Mexico')",18.3714731,-95.2992855,"Axochio, 95730, Veracruz, Mexico"
222,554,"('Buenavista Penjamo, Guanajuato', 'Mexico')",20.4313763,-101.7241184,"Pénjamo, Guanajuato, Mexico"
223,559,"('Cardel', 'Mexico')",17.444722,-94.221389,"José Cardel, 96700, Veracruz, Mexico"
224,563,"('Champoton, Campeche', 'Mexico')",19.12975965,-90.45225444832099,"Champotón, Campeche, Mexico"
