,COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,Flipped_Lat,Flipped_Lng,GRIDCODE,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,Region,SITEID,START,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid
51,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Vallecito de Rio Piedras, 0601, Tarija, Bolivia",-21.7845317,-64.4019332,,,0.0,0.0,0.0,0.0,,VALLECITOS (IBOPERENDA),0.0,72.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1829.0
52,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Yacuiba, Tarija, Bolivia",-22.0136146,-63.677608,,,0.0,0.0,0.0,0.0,,YACUIBA,0.0,74.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1557.0
53,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Zona 4x4, Avenida Antonio Vaca Diez, 3212, Avenida Antonio Vaca Diez, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",-17.750428,-63.18790697531949,,,0.0,0.0,0.0,0.0,,ZONA NORTE DE SANTA CRUZ,0.0,75.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1854.0
54,0.0,BRAZIL,,0.0,0.0,0.0,0.0,,,0.0,"Brazil, Brazil",-10.3333333,-53.2,,,0.0,0.0,0.0,0.0,,BRAZIL,0.0,83.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2065.0
55,0.0,BRAZIL,,0.0,0.0,0.0,0.0,,,0.0,"Campo Largo, Bahia, Brazil",-10.3926525,-41.4194351,,,0.0,0.0,0.0,0.0,,CAMPO LARGO - PR,0.0,84.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1578.0
56,0.0,CHINA,,0.0,0.0,0.0,0.0,,,0.0,"Honghe County, Yunnan, China",23.234737,102.301136,,,0.0,0.0,0.0,0.0,,HONGHE,0.0,102.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1901.0
57,0.0,CHINA,,0.0,0.0,0.0,0.0,,,0.0,"Yangjia River, 723000, Mian, Shaanxi, China",33.1051332,106.686846,,,0.0,0.0,0.0,0.0,,MIAN YANG,0.0,106.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1897.0
58,0.0,COLOMBIA,,0.0,0.0,0.0,0.0,,,0.0,"Aguas Blancas., Antioquia, Colombia",6.9003599,-75.7235025,,,0.0,0.0,0.0,0.0,,AGUAS BLANCAS,0.0,114.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1705.0
59,0.0,COLOMBIA,,0.0,0.0,0.0,0.0,,,0.0,"Aguas Claras, 250070, Cundinamarca, Colombia",4.491881,-74.2414786,,,0.0,0.0,0.0,0.0,,AGUAS CLARAS,0.0,115.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1698.0
60,0.0,COLOMBIA,,0.0,0.0,0.0,0.0,,,0.0,"Colombia, Colombia",2.8894434,-73.783892,,,0.0,0.0,0.0,0.0,,ANDREMONI,0.0,116.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1708.0
